[step  12800/50000] loss=0.1494  lr=4.28e-05  grad=1.58  72.0 sa/s
[step  12850/50000] loss=0.1461  lr=4.27e-05  grad=1.38  72.0 sa/s
[step  12900/50000] loss=0.1424  lr=4.27e-05  grad=0.80  71.9 sa/s
[step  12950/50000] loss=0.1385  lr=4.26e-05  grad=1.67  71.7 sa/s
[step  13000/50000] loss=0.1479  lr=4.25e-05  grad=2.14  71.9 sa/s
[step  13050/50000] loss=0.1443  lr=4.25e-05  grad=1.56  71.9 sa/s
[step  13100/50000] loss=0.1474  lr=4.24e-05  grad=0.82  71.8 sa/s
[step  13150/50000] loss=0.1430  lr=4.24e-05  grad=0.82  72.0 sa/s
[step  13200/50000] loss=0.1416  lr=4.23e-05  grad=1.52  71.9 sa/s
[step  13250/50000] loss=0.1476  lr=4.23e-05  grad=1.64  71.9 sa/s
[step  13300/50000] loss=0.1412  lr=4.22e-05  grad=1.25  71.9 sa/s
[step  13350/50000] loss=0.1489  lr=4.21e-05  grad=0.86  71.9 sa/s
[step  13400/50000] loss=0.1427  lr=4.21e-05  grad=1.10  72.0 sa/s
[step  13450/50000] loss=0.1385  lr=4.20e-05  grad=1.38  72.0 sa/s
[step  13500/50000] loss=0.1369  lr=4.20e-05  grad=1.17  72.0 sa/s
[step  13550/50000] loss=0.1460  lr=4.19e-05  grad=1.12  71.9 sa/s
[step  13600/50000] loss=0.1379  lr=4.18e-05  grad=0.80  71.9 sa/s
[step  13650/50000] loss=0.1427  lr=4.18e-05  grad=1.16  72.0 sa/s
[step  13700/50000] loss=0.1451  lr=4.17e-05  grad=0.90  71.9 sa/s
[step  13750/50000] loss=0.1431  lr=4.17e-05  grad=1.21  72.0 sa/s
[step  13800/50000] loss=0.1370  lr=4.16e-05  grad=0.92  71.9 sa/s
[step  13850/50000] loss=0.1386  lr=4.16e-05  grad=1.47  71.9 sa/s
[step  13900/50000] loss=0.1443  lr=4.15e-05  grad=0.81  71.9 sa/s
[step  13950/50000] loss=0.1457  lr=4.14e-05  grad=1.12  71.9 sa/s
